id,station_name,data_source,lat,lon,http_link,host
-,Cancun_Intl_AP,MN6,21.03,-86.86,/MEX_Cancun_Intl_AP_MN6.zip,MN6
-,Candelaria,MN6,18.186,-91.042,/MEX_Candelaria_MN6.zip,MN6
-,Chetumal,MN6,18.5,-88.3,/MEX_Chetumal_MN6.zip,MN6
-,Chihuahua_Intl_AP,MN6,28.7,-105.96,/MEX_Chihuahua_Intl_AP_MN6.zip,MN6
-,Cointzio-Morelia,MN6,19.63,-101.25,/MEX_Cointzio-Morelia_MN6.zip,MN6
-,Cuernavaca,MN6,18.91,-99.25,/MEX_Cuernavaca_MN6.zip,MN6
-,Culiacan,MN6,24.83,-107.38,/MEX_Culiacan_MN6.zip,MN6
-,Guadalajara,MN6,20.67,-103.33,/MEX_Guadalajara_MN6.zip,MN6
-,Hermosillo,MN6,29.06,-110.96,/MEX_Hermosillo_MN6.zip,MN6
-,Inst_Mexicano_Tecno-Cuernavaca,MN6,18.88,-99.16,/MEX_Inst_Mexicano_Tecno-Cuernavaca_MN6.zip,MN6
-,Jonacatepec,MN6,18.663,-98.8,/MEX_Jonacatepec_MN6.zip,MN6
-,Juarez,MN6,31.739,-106.483,/MEX_Juarez_MN6.zip,MN6
-,Mazatlan,MN6,23.2,-106.417,/MEX_Mazatlan_MN6.zip,MN6
-,Merida,MN6,20.98,-89.65,/MEX_Merida_MN6.zip,MN6
-,Mexico_City-Juarez,MN6,19.43,-99.08,/MEX_Mexico_City-Juarez_MN6.zip,MN6
-,Monterrey_Ciudad,MN6,25.87,-100.2,/MEX_Monterrey_Ciudad_MN6.zip,MN6
-,Monterrey_Intl_AP,MN6,25.86,-100.23,/MEX_Monterrey_Intl_AP_MN6.zip,MN6
-,Morelia,MN6,19.7,-101.183,/MEX_Morelia_MN6.zip,MN6
-,Namiquipa,MN6,29.247,-107.411,/MEX_Namiquipa_MN6.zip,MN6
-,Pachuca,MN6,20.13,-98.73,/MEX_Pachuca_MN6.zip,MN6
-,Puebla,MN6,19.03,-98.2,/MEX_Puebla_MN6.zip,MN6
-,Puerto_Escondido,MN6,25.953,-110.347,/MEX_Puerto_Escondido_MN6.zip,MN6
-,QR_Los_Divorciados,MN6,19.07,-88.45,/MEX_QR_Los_Divorciados_MN6.zip,MN6
-,San_Jose_del_Cabo,MN6,23.15,-109.7,/MEX_San_Jose_del_Cabo_MN6.zip,MN6
-,San_Juanito,MN6,27.97,-107.6,/MEX_San_Juanito_MN6.zip,MN6
-,San_Luis_Potosi,MN6,22.15,-100.98,/MEX_San_Luis_Potosi_MN6.zip,MN6
-,Santiago_de_Queretaro,MN6,20.58,-100.38,/MEX_Santiago_de_Queretaro_MN6.zip,MN6
-,Silao,MN6,20.94,-101.42,/MEX_Silao_MN6.zip,MN6
-,Tlalnepantla_DF,MN6,19.546,-99.189,/MEX_Tlalnepantla_DF_MN6.zip,MN6
-,Tlalnpan_DF,MN6,19.295,-99.175,/MEX_Tlalnpan_DF_MN6.zip,MN6
-,Tlaxcala,MN6,19.31,-98.239,/MEX_Tlaxcala_MN6.zip,MN6
-,Torreon_AP,MN6,25.53,-103.45,/MEX_Torreon_AP_MN6.zip,MN6
-,Tuxpan,MN6,20.95,-97.4,/MEX_Tuxpan_MN6.zip,MN6
-,Valle_de_Bravo,MN6,19.183,-100.133,/MEX_Valle_de_Bravo_MN6.zip,MN6
-,Xalapa_Enriquez-Veracruz,MN6,19.54,-96.55,/MEX_Xalapa_Enriquez-Veracruz_MN6.zip,MN6
-,Zacatecas,MN6,22.78,-102.567,/MEX_Zacatecas_MN6.zip,MN6
-,Luqa-Qrendi,MN6,35.83,14.433,/MLT_Luqa-Qrendi_MN6.zip,MN6
-,Marsaxlokk,MN6,35.834,14.544,/MLT_Marsaxlokk_MN6.zip,MN6
-,Mandalay,MN6,21.98,96.1,/MMR_Mandalay_MN6.zip,MN6
-,Yangon_Intl_AP,MN6,16.9,96.133,/MMR_Yangon_Intl_AP_MN6.zip,MN6
-,Tivat,MN6,42.4,18.73,/MNE_Tivat_MN6.zip,MN6
-,Zagora,MN6,42.3,18.7389,/MNE_Zagora_MN6.zip,MN6
-,Johore_Bharu,MN6,1.48,103.73,/MYS_Johore_Bharu_MN6.zip,MN6
-,Kota_Kinabalu,MN6,5.979,116.115,/MYS_Kota_Kinabalu_MN6.zip,MN6
-,Noumea,MN6,-22.283,166.45,/NCL_Noumea_MN6.zip,MN6
-,Arnhelm,MN6,51.983,5.917,/NLD_Arnhelm_MN6.zip,MN6
-,Zwolle,MN6,52.517,6.1,/NLD_Zwolle_MN6.zip,MN6
-,Muscat,MN6,23.613,58.593,/OMN_Muscat_MN6.zip,MN6
-,Sohar,MN6,23.85,57.433,/OMN_Sohar_MN6.zip,MN6
-,Hyderabad_AP,MN6,17.45,78.467,/PAK_Hyderabad_AP_MN6.zip,MN6
-,Islamabad,MN6,33.62,73.1,/PAK_Islamabad_MN6.zip,MN6
-,Lahore,MN6,31.51,74.4,/PAK_Lahore_MN6.zip,MN6
-,Panama,MN6,8.98,-79.5,/PAN_Panama_MN6.zip,MN6
-,Baguio-Luzon_Island,MN6,16.41,120.6,/PHL_Baguio-Luzon_Island_MN6.zip,MN6
-,Tagaytay,MN6,14.11,120.939,/PHL_Tagaytay_MN6.zip,MN6
-,Agueda,MN6,40.57,-8.4333,/PRT_Agueda_MN6.zip,MN6
-,Arouca,MN6,40.91,8.26,/PRT_Arouca_MN6.zip,MN6
-,Aveiro,MN6,40.641,8.654,/PRT_Aveiro_MN6.zip,MN6
-,Braga,MN6,41.58,-8.4167,/PRT_Braga_MN6.zip,MN6
